NAME	TYPE	OWNER	SOURCE	MIN_SCOPE_OR_PERMISSIONS	USED_IN	NOTES
BACKEND_HEALTH_URLS	github_secret	@team/platform	GitHub Actions secret	HTTP(S) endpoint list (comma-separated)	.github/workflows/post-deploy-validate.yml	Healthcheck list for backend validate.
BACKEND_ROLLBACK_HOOK_URL	github_secret	@team/platform	GitHub Actions secret	HTTP(S) POST endpoint	.github/workflows/rollback.yml	Backend rollback hook.
CANARY_API_KEY	github_secret	@team/platform	GitHub Actions secret	Grafana/observability API key	.github/workflows/release-canary.yml	Alternate live canary metrics key when Grafana key is not used.
CANARY_APPLY_WEIGHT_HOOK_URL	github_secret	@team/platform	GitHub Actions secret	HTTP(S) POST endpoint	.github/workflows/release-canary.yml	Generic hook that applies requested canary weight.
CANARY_AUDIT_FILTER_QUERY	github_variable	@team/platform	GitHub Actions variable	PromQL/Loki query string	.github/workflows/release-canary.yml	Canary audit filter query.
CANARY_AUDIT_TOTAL_QUERY	github_variable	@team/platform	GitHub Actions variable	PromQL/Loki query string	.github/workflows/release-canary.yml	Canary audit total query.
CANARY_BACKEND_HEALTH_URLS	github_secret	@team/platform	GitHub Actions secret	HTTP(S) endpoint list (comma-separated)	.github/workflows/release-canary.yml	Backend healthcheck list for live canary runtime validation.
CANARY_DEFAULT_ENV	github_variable	@team/platform	GitHub Actions variable	Environment name (stage/prod)	.github/workflows/release-canary.yml	Default live canary target environment.
CANARY_DEFAULT_MODE	github_variable	@team/platform	GitHub Actions variable	Canary mode (sample/live)	.github/workflows/release-canary.yml	Default canary execution mode.
CANARY_ENABLED	github_secret	@team/platform	GitHub Actions secret	string "true"/"false"	.github/workflows/release-canary.yml	Kill-switch: live canary only runs when true.
CANARY_ERROR_QUERY	github_variable	@team/platform	GitHub Actions variable	PromQL/Loki query string	.github/workflows/release-canary.yml	Canary error-rate query.
CANARY_PROM_URL	github_secret	@team/platform	GitHub Actions secret	Prometheus/Grafana proxy URL	.github/workflows/release-canary.yml	Metrics base URL for live canary.
