TYPE	NUM	ID	BRANCH	OWNER	CREATED_AT	STATUS
STORY	0305	STORY-0305-m3-direct-gen-production-system-v1	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0305	AC-0305	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0305	TP-0305	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0306	STORY-0306-ethics-intake-and-case-mailbox	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0306	AC-0306	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0306	TP-0306	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0307	STORY-0307-ethics-coi-and-access-boundary	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0307	AC-0307	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0307	TP-0307	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0308	STORY-0308-ethics-audit-trail-and-evidence-handling	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0308	AC-0308	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0308	TP-0308	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0309	STORY-0309-ethics-triage-routing-policy	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0309	AC-0309	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0309	TP-0309	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0310	STORY-0310-ethics-sla-and-escalation	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0310	AC-0310	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0310	TP-0310	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0311	STORY-0311-ethics-retaliation-checkin	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0311	AC-0311	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0311	TP-0311	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0312	STORY-0312-ethics-closure-quality-score	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0312	AC-0312	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0312	TP-0312	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0313	STORY-0313-nc-intake-and-evidence	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0313	AC-0313	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0313	TP-0313	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0314	STORY-0314-nc-capa-workflow	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
AC	0314	AC-0314	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
TP	0314	TP-0314	docs/m3-direct-gen-system-v1	TBD	2025-12-25T00:00:00+03:00	reserved
STORY	0315	STORY-0315-fleet-operations-management	docs/fleet-operations-management-chain	TBD	2025-12-25T22:52:14+03:00	reserved
AC	0315	AC-0315	docs/fleet-operations-management-chain	TBD	2025-12-25T22:52:14+03:00	reserved
TP	0315	TP-0315	docs/fleet-operations-management-chain	TBD	2025-12-25T22:52:14+03:00	reserved
