BM_ITEM_ID	BM_SECTION	TARGET_TYPE	TARGET_ID	mapping_quality	NOTES
BM-0003-CORE-DEC-001	CORE	ADR	ADR-0001	refined	mapping_quality: refined; vehicle identity (VIN/plate history) SSOT
BM-0003-CORE-DEC-001	CORE	SPEC	SPEC-0016	refined	mapping_quality: refined; Vehicle entity contract (canonical vehicle_id)
BM-0003-CORE-DEC-002	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; onboarding/import strategy defined at PRD level
BM-0003-CORE-DEC-003	CORE	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: SLA & Calendar
BM-0003-CORE-DEC-003	CORE	SPEC	SPEC-0016	refined	mapping_quality: refined; due-date & escalation semantics
BM-0003-CORE-DEC-004	CORE	ADR	ADR-0001	refined	mapping_quality: refined; document immutability + versioning
BM-0003-CORE-DEC-004	CORE	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Evidence / Attachment
BM-0003-CORE-DEC-005	CORE	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Case / Work Item Engine
BM-0003-CORE-DEC-005	CORE	SPEC	SPEC-0016	refined	mapping_quality: refined; work item types and lifecycle
BM-0003-CORE-GRD-001	CORE	AC	AC-0315	coarse	mapping_quality: coarse; Guardrail -> negative acceptance (no delete)
BM-0003-CORE-GRD-002	CORE	AC	AC-0315	coarse	mapping_quality: coarse; Guardrail -> negative acceptance (document no delete)
BM-0003-CORE-GRD-003	CORE	SPEC	SPEC-0016	coarse	mapping_quality: coarse; timezone + due-date rule
BM-0003-CORE-GRD-004	CORE	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Notification & Communications
BM-0003-CORE-GRD-004	CORE	AC	AC-0315	coarse	mapping_quality: coarse; Guardrail -> platform reuse acceptance
BM-0003-CORE-GRD-005	CORE	AC	AC-0315	refined	mapping_quality: refined; Guardrail -> negative acceptance (odometer monotonic)
BM-0003-CORE-ASM-001	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; assumptions/dependencies section
BM-0003-CORE-ASM-002	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; assumptions/dependencies section
BM-0003-CORE-ASM-003	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; assumptions/dependencies section
BM-0003-CORE-ASM-004	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; KPI/reporting needs
BM-0003-CORE-VAL-001	CORE	TP	TP-0315	coarse	mapping_quality: coarse; pilot validation
BM-0003-CORE-VAL-002	CORE	TP	TP-0315	coarse	mapping_quality: coarse; due-date reminder validation
BM-0003-CORE-VAL-003	CORE	TP	TP-0315	coarse	mapping_quality: coarse; data quality test scenarios
BM-0003-CORE-VAL-004	CORE	TP	TP-0315	coarse	mapping_quality: coarse; audit/evidence validation
BM-0003-CORE-RSK-001	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; risk register (dedup/idempotency)
BM-0003-CORE-RSK-002	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; compliance risk + escalation
BM-0003-CORE-RSK-003	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; document completeness
BM-0003-CORE-RSK-004	CORE	AC	AC-0315	coarse	mapping_quality: coarse; negative scenario (odometer monotonic)
BM-0003-CORE-RSK-005	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; fuel anomaly
BM-0003-CORE-RSK-006	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; integration drift
